date,open,close,high,low,volume,code
2017-01-05,6.134,6.155,6.254,6.113,54665.0,002770
2017-01-06,6.124,6.024,6.192,5.993,58401.0,002770
2017-01-09,6.061,6.192,6.202,6.03,82621.0,002770
2017-01-10,6.192,6.16,6.244,6.108,37750.0,002770
2017-01-11,6.118,6.129,6.254,6.118,50966.0,002770
2017-01-12,6.155,6.05,6.165,6.05,30457.0,002770
2017-01-13,6.045,5.946,6.092,5.946,32540.0,002770
2017-01-16,5.93,5.554,5.977,5.35,111489.0,002770
2017-01-17,5.591,5.632,5.653,5.423,47936.0,002770
2017-01-18,5.617,5.612,5.721,5.57,32871.0,002770
2017-01-19,5.57,5.544,5.653,5.538,18595.0,002770
2017-01-20,5.512,5.627,5.648,5.491,26628.0,002770
2017-01-23,5.627,5.664,5.7,5.606,20607.0,002770
2017-01-24,5.664,5.601,5.679,5.596,16575.0,002770
2017-01-25,5.632,5.648,5.695,5.585,21770.0,002770
2017-01-26,5.638,5.685,5.69,5.617,17139.0,002770
2017-02-03,5.7,5.659,5.716,5.601,12981.0,002770
2017-02-06,5.643,5.747,5.747,5.612,24306.0,002770
2017-02-07,5.747,5.721,5.779,5.69,19291.0,002770
2017-02-08,5.742,5.737,5.747,5.659,23200.0,002770
2017-02-09,5.737,5.747,5.8,5.737,28746.0,002770
2017-02-10,5.768,5.758,5.794,5.726,30740.0,002770
2017-02-13,5.768,5.857,5.92,5.726,45874.0,002770
2017-02-14,5.925,5.826,5.925,5.81,26716.0,002770
2017-02-15,5.805,5.747,5.878,5.737,33786.0,002770
2017-02-16,5.7,5.753,5.774,5.674,50916.0,002770
2017-02-17,5.747,5.664,5.747,5.648,29027.0,002770
2017-02-20,5.669,5.847,5.92,5.653,64703.0,002770
2017-02-21,5.81,5.831,5.888,5.789,48040.0,002770
2017-02-22,5.826,5.852,5.873,5.81,30172.0,002770
2017-02-23,5.862,5.826,5.868,5.805,23654.0,002770
2017-02-24,5.81,5.836,5.841,5.784,23099.0,002770
2017-02-27,5.831,5.763,5.841,5.763,35724.0,002770
2017-02-28,5.711,5.768,5.784,5.711,24865.0,002770
2017-03-01,5.747,5.8,5.841,5.742,45363.0,002770
2017-03-02,5.789,5.632,5.836,5.523,72031.0,002770
2017-03-03,5.632,5.653,5.69,5.544,41010.0,002770
2017-03-06,5.632,5.888,5.92,5.632,127638.0,002770
2017-03-07,5.862,6.374,6.479,5.831,406943.0,002770
2017-03-08,6.192,6.03,6.244,5.983,302015.0,002770
2017-03-09,6.056,6.04,6.165,5.972,188312.0,002770
2017-03-10,5.983,5.962,6.03,5.904,105165.0,002770
2017-03-13,5.935,5.946,5.946,5.831,77983.0,002770
2017-03-14,5.946,5.888,6.03,5.878,79718.0,002770
2017-03-15,5.852,5.852,5.915,5.836,55577.0,002770
2017-03-16,5.857,5.909,5.925,5.841,70795.0,002770
2017-03-17,5.904,5.8,5.941,5.8,70077.0,002770
2017-03-20,5.81,5.784,5.826,5.732,62384.0,002770
2017-03-21,5.784,5.831,5.873,5.758,54374.0,002770
2017-03-22,5.789,5.758,5.821,5.737,51382.0,002770
2017-03-23,5.779,5.784,5.815,5.721,45464.0,002770
2017-03-24,5.774,5.753,5.805,5.726,48006.0,002770
2017-03-27,5.763,5.695,5.779,5.695,41895.0,002770
2017-03-28,5.674,5.7,5.758,5.674,26214.0,002770
2017-03-29,5.7,5.612,5.726,5.601,39321.0,002770
2017-03-30,5.591,5.35,5.622,5.329,78779.0,002770
2017-03-31,5.387,5.429,5.455,5.356,38644.0,002770
2017-04-05,5.439,5.523,5.528,5.439,35955.0,002770
2017-04-06,5.528,5.497,5.533,5.47,25484.0,002770
2017-04-07,5.486,5.523,5.554,5.45,53667.0,002770
2017-04-10,5.664,5.57,5.706,5.523,77999.0,002770
2017-04-11,5.58,5.643,5.653,5.538,48737.0,002770
2017-04-12,5.638,5.643,5.674,5.606,31776.0,002770
2017-04-13,5.622,5.659,5.706,5.58,44342.0,002770
2017-04-14,5.643,5.612,5.679,5.57,53243.0,002770
2017-04-17,5.622,5.612,5.643,5.538,35840.0,002770
2017-04-18,5.612,5.392,5.622,5.392,34647.0,002770
2017-04-19,5.397,5.47,5.643,5.251,56339.0,002770
2017-04-20,5.397,5.423,5.465,5.382,18428.0,002770
2017-04-21,5.397,5.397,5.444,5.382,14441.0,002770
2017-04-24,5.397,5.225,5.423,5.214,31011.0,002770
