date,open,close,high,low
2017-03-02,5.789,5.632,5.836,5.523
2017-03-03,5.632,5.653,5.69,5.544
2017-03-06,5.632,5.888,5.92,5.632
2017-03-07,5.862,6.374,6.479,5.831
2017-03-08,6.192,6.03,6.244,5.983
2017-03-09,6.056,6.04,6.165,5.972
2017-03-10,5.983,5.962,6.03,5.904
2017-03-13,5.935,5.946,5.946,5.831
2017-03-14,5.946,5.888,6.03,5.878
2017-03-15,5.852,5.852,5.915,5.836
2017-03-16,5.857,5.909,5.925,5.841
2017-03-17,5.904,5.8,5.941,5.8
2017-03-20,5.81,5.784,5.826,5.732
2017-03-21,5.784,5.831,5.873,5.758
2017-03-22,5.789,5.758,5.821,5.737
2017-03-23,5.779,5.784,5.815,5.721
2017-03-24,5.774,5.753,5.805,5.726
2017-03-27,5.763,5.695,5.779,5.695
2017-03-28,5.674,5.7,5.758,5.674
2017-03-29,5.7,5.612,5.726,5.601
2017-03-30,5.591,5.35,5.622,5.329
2017-03-31,5.387,5.429,5.455,5.356
2017-04-05,5.439,5.523,5.528,5.439
2017-04-06,5.528,5.497,5.533,5.47
2017-04-07,5.486,5.523,5.554,5.45
2017-04-10,5.664,5.57,5.706,5.523
2017-04-11,5.58,5.643,5.653,5.538
2017-04-12,5.638,5.643,5.674,5.606
2017-04-13,5.622,5.659,5.706,5.58
2017-04-14,5.643,5.612,5.679,5.57
2017-04-17,5.622,5.612,5.643,5.538
2017-04-18,5.612,5.392,5.622,5.392
2017-04-19,5.397,5.47,5.643,5.251
2017-04-20,5.397,5.423,5.465,5.382
2017-04-21,5.397,5.397,5.444,5.382
2017-04-24,5.397,5.225,5.423,5.214
2017-04-25,5.199,5.23,5.288,5.199
2017-04-26,5.241,5.256,5.309,5.214
2017-04-27,5.261,5.293,5.298,5.183
2017-04-28,5.298,5.335,5.335,5.241
2017-05-02,5.34,5.34,5.408,5.335
2017-05-03,5.34,5.371,5.392,5.298
2017-05-04,5.356,5.371,5.403,5.314
2017-05-05,5.361,5.366,5.392,5.319
2017-05-08,5.329,5.371,5.392,5.282
2017-05-09,5.528,5.585,5.627,5.491
2017-05-10,5.491,5.465,5.559,5.319
2017-05-11,5.371,5.293,5.371,5.094
2017-05-12,5.23,5.298,5.309,5.209
2017-05-15,5.267,5.256,5.303,5.251
2017-05-16,5.261,5.293,5.298,5.147
2017-05-17,5.288,5.319,5.361,5.277
2017-05-18,5.303,5.251,5.335,5.241
2017-05-19,5.261,5.256,5.288,5.204
2017-05-22,5.261,5.131,5.272,5.115
2017-05-23,5.131,4.838,5.141,4.817
2017-05-24,4.833,4.943,4.985,4.76
2017-05-25,4.911,5.042,5.079,4.891
2017-05-26,5.084,5.141,5.147,5.073
2017-05-31,5.183,5.162,5.199,5.131
